utc_offset_hours,turbine_id,model,horizon,n,forecast_cases,missing_target_cases,mae,rmse,bias
0,1,catboost,1-24,739,739,0,0.23395665510931274,0.32315417457883205,-0.08038001074414665
0,1,catboost,25-48,725,725,0,0.23740095494079078,0.3232180925803738,-0.0654893753818407
0,1,catboost,1-48,1464,1464,0,0.23566233637831654,0.3231858295407696,-0.07300589145611945
0,1,empirical_curve,1-24,739,739,0,0.23248098606461554,0.3139500096727962,-0.0606617645530238
0,1,empirical_curve,25-48,725,725,0,0.2344674683244331,0.3133278750355498,-0.04591560144638303
0,1,empirical_curve,1-48,1464,1464,0,0.23346472898699788,0.31364207128442895,-0.053359190610185986
0,1,training_mean,1-24,739,739,0,0.3026024061693677,0.34241145511445864,0.05744497157735061
0,1,training_mean,25-48,725,725,0,0.3011078319436727,0.3408743419931404,0.059296880805415876
0,1,training_mean,1-48,1464,1464,0,0.30186226524475773,0.3416511125083571,0.05836207143414523
0,2,catboost,1-24,739,739,0,0.2334034461733452,0.3303451102733211,-0.09645990534774368
0,2,catboost,25-48,725,725,0,0.2378848009143424,0.3294821898297161,-0.08275415015912282
0,2,catboost,1-48,1464,1464,0,0.23562269630122978,0.32991805813908065,-0.08967256073589248
0,2,empirical_curve,1-24,739,739,0,0.23293187777969887,0.31955279740190917,-0.0685090671396924
0,2,empirical_curve,25-48,725,725,0,0.23571179307020304,0.318474912932442,-0.05463308838056714
0,2,empirical_curve,1-48,1464,1464,0,0.2343085434802559,0.3190194641817485,-0.06163742465310373
0,2,training_mean,1-24,739,739,0,0.3039798484906449,0.34266203143807505,0.057879809105296776
0,2,training_mean,25-48,725,725,0,0.302615321427016,0.34135622481028155,0.059740717757871716
0,2,training_mean,1-48,1464,1464,0,0.30330410933686697,0.342015994869912,0.058801365644311016
5,1,catboost,1-24,744,744,0,0.16813585687363128,0.23982809776516728,-0.07854190572860782
5,1,catboost,25-48,720,720,0,0.1843425005884252,0.260368713559066,-0.06626659157159283
5,1,catboost,1-48,1464,1464,0,0.17610633738910367,0.25014091179001374,-0.07250486597925619
5,1,empirical_curve,1-24,744,744,0,0.16961354901353035,0.23506782280684665,-0.05900796429492913
5,1,empirical_curve,25-48,720,720,0,0.1857664938491923,0.2548852549388171,-0.04678406368905203
5,1,empirical_curve,1-48,1464,1464,0,0.17755762024418376,0.24501448991779978,-0.05299620989859613
5,1,training_mean,1-24,744,744,0,0.3023936841202782,0.3421983551490794,0.05767956217978245
5,1,training_mean,25-48,720,720,0,0.30091400633296295,0.34094778127029063,0.05742381247846824
5,1,training_mean,1-48,1464,1464,0,0.30166597373307397,0.3415838909719275,0.0575537836381525
5,2,catboost,1-24,744,744,0,0.1752139150454232,0.2526088234030386,-0.09474019800396805
5,2,catboost,25-48,720,720,0,0.190075069316317,0.2702805063076045,-0.0835677132148329
5,2,catboost,1-48,1464,1464,0,0.18252267944094472,0.26144912397891745,-0.08924553335357371
5,2,empirical_curve,1-24,744,744,0,0.17424884531332996,0.2435176563059686,-0.06698681787762205
5,2,empirical_curve,25-48,720,720,0,0.18975745216938564,0.262102144358514,-0.05551596119383367
5,2,empirical_curve,1-48,1464,1464,0,0.18187602901302946,0.25282833997726556,-0.06134541295116874
5,2,training_mean,1-24,744,744,0,0.3038051063889482,0.34255375114379255,0.05797445895179087
5,2,training_mean,25-48,720,720,0,0.30244855023602113,0.341449295846939,0.057887317374729956
5,2,training_mean,1-48,1464,1464,0,0.30313794762521357,0.34201102211493606,0.057931602438482235
6,1,catboost,1-24,743,743,0,0.16869308280571516,0.24108906841260042,-0.07863747449007943
6,1,catboost,25-48,719,719,0,0.18178319301017618,0.25737935211820034,-0.0665127017772569
6,1,catboost,1-48,1462,1462,0,0.17513069514292953,0.2492335950464475,-0.07267460747194032
6,1,empirical_curve,1-24,743,743,0,0.1708923127255407,0.236268254781326,-0.05908447209416674
6,1,empirical_curve,25-48,719,719,0,0.18354987074465545,0.2524321568101152,-0.04706588259097837
6,1,empirical_curve,1-48,1462,1462,0,0.17711719933001643,0.24435118993602492,-0.05317382513603238
6,1,training_mean,1-24,743,743,0,0.3023179213982967,0.3421756300311982,0.05727443993971146
6,1,training_mean,25-48,719,719,0,0.30082902063956535,0.34091756846861737,0.05700017561142039
6,1,training_mean,1-48,1462,1462,0,0.30158569181859224,0.3415575044095661,0.05713955891916338
6,2,catboost,1-24,743,743,0,0.1740937995407877,0.2520999217126249,-0.09485817721759505
6,2,catboost,25-48,719,719,0,0.18613457929855245,0.26664788554103946,-0.08380382821509888
6,2,catboost,1-48,1462,1462,0,0.18001535949005779,0.25935649148942413,-0.08942173608709247
6,2,empirical_curve,1-24,743,743,0,0.1742906618438942,0.243212729742549,-0.06707201466618905
6,2,empirical_curve,25-48,719,719,0,0.1868883298490727,0.258887834601018,-0.05579660852606691
6,2,empirical_curve,1-48,1462,1462,0,0.1804860950147036,0.25104396234886905,-0.06152685938934375
6,2,training_mean,1-24,743,743,0,0.3037384954425041,0.3425390647511661,0.05757698576115136
6,2,training_mean,25-48,719,719,0,0.3023685569731176,0.34142284647204457,0.0574671833150792
6,2,training_mean,1-48,1462,1462,0,0.30306477057281267,0.34199057273669353,0.05752298578938263
