candidate,turbine_id,horizon,n,rmse,mae,bias
affine_wind,1,1-24,744,0.2514218059725929,0.1950135599934415,0.09094081605106681
affine_wind,1,25-48,720,0.28237357024253856,0.22014856687910406,0.10759883249195054
affine_wind,1,1-48,1464,0.26709259324110196,0.20737503878966898,0.09913328315314078
affine_wind,2,1-24,744,0.25658764379457843,0.198625692825281,0.09043676120355185
affine_wind,2,25-48,720,0.28681172364550706,0.2233676814556091,0.10685591256299093
affine_wind,2,1-48,1464,0.27187215932579983,0.21079388395495055,0.09851175367540711
catboost_gfs,1,1-24,744,0.2412753935926722,0.19499957547705682,0.09223774241793609
catboost_gfs,1,25-48,720,0.2729857572122613,0.22296558395465665,0.11323352912498372
catboost_gfs,1,1-48,1464,0.2573593835818308,0.2087533501381715,0.10256353915910704
catboost_gfs,2,1-24,744,0.2513698514949204,0.20154928651233317,0.09371778728083782
catboost_gfs,2,25-48,720,0.28502085209856165,0.2319058616603908,0.11732817507916732
catboost_gfs,2,1-48,1464,0.2684471878759131,0.21647874969990252,0.10532945341116381
raw_empirical,1,1-24,744,0.23506782280684665,0.16961354901353035,-0.05900796429492911
raw_empirical,1,25-48,720,0.2548852549388171,0.1857664938491923,-0.04678406368905202
raw_empirical,1,1-48,1464,0.24501448991779978,0.17755762024418376,-0.05299620989859611
raw_empirical,2,1-24,744,0.2435176563059686,0.17424884531332996,-0.06698681787762205
raw_empirical,2,25-48,720,0.2621021443585139,0.18975745216938564,-0.05551596119383366
raw_empirical,2,1-48,1464,0.25282833997726556,0.18187602901302946,-0.06134541295116874
