utc_offset_hours,turbine_id,model,horizon,n,forecast_cases,missing_target_cases,mae,rmse,bias
5,1,catboost,1-24,744,744,0,0.16813585687363128,0.23982809776516728,-0.07854190572860782
5,1,catboost,25-48,720,720,0,0.1843425005884252,0.260368713559066,-0.06626659157159283
5,1,catboost,1-48,1464,1464,0,0.17610633738910367,0.25014091179001374,-0.07250486597925619
5,1,empirical_curve,1-24,744,744,0,0.16961354901353035,0.23506782280684665,-0.05900796429492913
5,1,empirical_curve,25-48,720,720,0,0.1857664938491923,0.2548852549388171,-0.04678406368905203
5,1,empirical_curve,1-48,1464,1464,0,0.17755762024418376,0.24501448991779978,-0.05299620989859613
5,1,training_mean,1-24,744,744,0,0.3023936841202782,0.3421983551490794,0.05767956217978245
5,1,training_mean,25-48,720,720,0,0.30091400633296295,0.34094778127029063,0.05742381247846824
5,1,training_mean,1-48,1464,1464,0,0.30166597373307397,0.3415838909719275,0.0575537836381525
5,2,catboost,1-24,744,744,0,0.1752139150454232,0.2526088234030386,-0.09474019800396805
5,2,catboost,25-48,720,720,0,0.190075069316317,0.2702805063076045,-0.0835677132148329
5,2,catboost,1-48,1464,1464,0,0.18252267944094472,0.26144912397891745,-0.08924553335357371
5,2,empirical_curve,1-24,744,744,0,0.17424884531332996,0.2435176563059686,-0.06698681787762205
5,2,empirical_curve,25-48,720,720,0,0.18975745216938564,0.262102144358514,-0.05551596119383367
5,2,empirical_curve,1-48,1464,1464,0,0.18187602901302946,0.25282833997726556,-0.06134541295116874
5,2,training_mean,1-24,744,744,0,0.3038051063889482,0.34255375114379255,0.05797445895179087
5,2,training_mean,25-48,720,720,0,0.30244855023602113,0.341449295846939,0.057887317374729956
5,2,training_mean,1-48,1464,1464,0,0.30313794762521357,0.34201102211493606,0.057931602438482235
